t-3	t-2	t-1	t0	t1	Naive Bayes	n
continuous	continuous	continuous	continuous	continuous	discrete	continuous
					class	meta
-855.043716247	-941.509836485	-1027.97595672	-1040.42740298	-968.64839386	-2133	401.0
108.036742888	179.815752004	251.594761121	244.099438976	167.594010283	-2106	402.0
-444.449419261	-520.954847954	-597.460276647	-645.055402477	-573.76992764	-2133	403.0
16789.3457176	16876.0765433	16962.807369	16743.8510407	16325.9490096	2133	406.0
-11255.5850455	-11673.4870767	-12091.3891078	-12077.3905539	-11721.614971	-1040	407.0
10264.5278545	10357.0739056	10449.6199567	9756.51862805	8942.08970852	2133	410.0
-7346.48868222	-8160.91760175	-8975.34652129	-9290.00661248	-8746.66524315	-1040	411.0
1049.44563592	1093.7395839	1138.03353188	1166.96105426	1129.52083205	-26	415.0
328.229688808	334.010418158	339.791147509	335.033605583	234.289839265	-2106	417.0
-1075.37912287	-1176.12288919	-1276.86665551	-1324.03156397	-1242.48356939	-2133	418.0
-317.411623729	-382.888724575	-448.36582542	-491.485291453	-474.917940199	-2133	428.0
658.085126352	689.827479109	721.569831867	664.35325477	579.949494949	-26	431.0
-432.895622896	-517.299382716	-601.703142536	-580.403141789	-502.907131571	-2133	432.0
2519.43726693	2596.93327715	2674.42928737	2537.70125304	2323.5605139	-26	433.0
-1530.97279069	-1745.11352983	-1959.25426897	-2032.5710027	-1937.08440887	-2133	434.0
8613.75	8713.90988372	8814.06976744	8882.0879097	8221.11810135	2133	436.0
